Title,Specs,Post Date,Options,Price,Installment
Hyundai Elantra MD 2015,"['Hyundai', 'Elantra MD', 'Silver', '100,000 Km', 'Heliopolis']",2023-06-17,"660,000 EGP",No
Hyundai Verna 2014,"['Hyundai', 'Verna', 'Gray', '200,500 Km', 'El Minya']",2023-06-17,"270,000 EGP",No
Hyundai Matrix 2011,"['Hyundai', 'Matrix', 'Light grey', '- Km', 'Mansoura']",2023-06-17,"420,000 EGP",No
Hyundai Accent 2011,"['Hyundai', 'Accent', 'Silver', '134,000 Km', 'Cairo']",2023-06-17,"276,000 EGP",No
Hyundai Elantra CN7 2021,"['Hyundai', 'Elantra CN7', 'Black', '183,514 Km', 'Cairo']",2023-06-17,"850,000 EGP",Yes
Hyundai Elantra MD 2014,"['Hyundai', 'Elantra MD', 'Black', '142,000 Km', 'Mohandessin']",2023-06-17,"510,000 EGP",No
Hyundai Accent 2006,"['Hyundai', 'Accent', 'Silver', '20,000 Km', 'El Haram']",2023-06-17,"120,000 EGP",No
Hyundai Atos 1998,"['Hyundai', 'Atos', 'Silver', '350,000 Km', 'Cairo']",2023-06-17,"75,000 EGP",No
Hyundai Verna 2014,"['Hyundai', 'Verna', 'Red', '140,000 Km', 'Cairo']",2023-06-17,"260,000 EGP",No
Hyundai Accent 2011,"['Hyundai', 'Accent', 'Red', '150,000 Km', 'Mokattam']",2023-06-17,"235,000 EGP",No
Hyundai Elantra 2010,"['Hyundai', 'Elantra', 'Red', '210,000 Km', 'El Haram']",2023-06-17,"390,000 EGP",No
Hyundai Tucson Turbo GDI 2022,"['Hyundai', 'Tucson Turbo GDI', 'White', '15,000 Km', 'Heliopolis']",2023-06-17,"1,670,000 EGP",No
Hyundai Verna 2017,"['Hyundai', 'Verna', 'Bronze', 'M/T GL', '187,195 Km', 'Giza']",2023-06-17,"300,000 EGP",No
Hyundai Verna 2006,"['Hyundai', 'Verna', 'Black', '184,000 Km', 'Obour City']",2023-06-17,"180,000 EGP",No
Hyundai Accent 2005,"['Hyundai', 'Accent', 'White', '200,000 Km', 'Alexandria']",2023-06-17,"115,000 EGP",No
Hyundai IX 35 2015,"['Hyundai', 'IX 35', 'Silver', '170,000 Km', 'Ashmoun']",2023-06-17,"760,000 EGP",No
Hyundai Verna 2007,"['Hyundai', 'Verna', 'Cyan', '100,000 Km', 'Cairo']",2023-06-17,"170,000 EGP",No
Hyundai Matrix 2009,"['Hyundai', 'Matrix', 'Dark red', '280,000 Km', 'Nasr city']",2023-06-17,"385,000 EGP",No
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Light grey', '165,000 Km', 'Obour City']",2023-06-17,"220,000 EGP",No
Hyundai Accent 2010,"['Hyundai', 'Accent', 'Cyan', '155,000 Km', 'Maadi']",2023-06-17,"320,000 EGP",No
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Light grey', '176,000 Km', 'Giza']",2023-06-17,"290,000 EGP",No
Hyundai Avante 2000,"['Hyundai', 'Avante', 'Silver', '280,000 Km', 'Tanta']",2023-06-17,"290,000 EGP",No
Hyundai Avante 2002,"['Hyundai', 'Avante', 'Silver', '126,000 Km', 'Beheira']",2023-06-17,"300,000 EGP",No
Hyundai Accent 1999,"['Hyundai', 'Accent', 'Dark green', '500,000 Km', '10th of Ramadan']",2023-06-17,"110,000 EGP",No
Hyundai Elantra MD 2013,"['Hyundai', 'Elantra MD', 'Black', '140,000 Km', 'Tagamo3 - New Cairo']",2023-06-17,"550,000 EGP",No
Hyundai Getz 2007,"['Hyundai', 'Getz', 'Dark blue', '20,000 Km', 'Tagamo3 - New Cairo']",2023-06-17,"295,000 EGP",No
Hyundai Accent RB 2021,"['Hyundai', 'Accent RB', 'Silver', 'A/T / DAB ABS PLUS TINTED GLASS', '34,000 Km', 'Heliopolis']",2023-06-17,"615,000 EGP",No
Hyundai Avante 2005,"['Hyundai', 'Avante', 'Silver', '270,000 Km', 'El Bagour']",2023-06-17,"320,000 EGP",No
Hyundai Elantra HD 2019,"['Hyundai', 'Elantra HD', 'Silver', '220,000 Km', 'Maadi']",2023-06-17,"350,000 EGP",Yes
Hyundai Elantra 2016,"['Hyundai', 'Elantra', 'Black', '240,000 Km', '10th of Ramadan']",2023-06-17,"450,000 EGP",No
Hyundai Accent RB 2012,"['Hyundai', 'Accent RB', 'Silver', '130,000 Km', 'Nasr city']",2023-06-17,"300,000 EGP",No
Hyundai Elantra AD 2020,"['Hyundai', 'Elantra AD', 'Gray', 'Automatic / GL / SR / AD', '85,000 Km', 'Amreya']",2023-06-17,"810,000 EGP",No
Hyundai Accent 2000,"['Hyundai', 'Accent', 'Gold', '395,000 Km', '6 October']",2023-06-17,"120,000 EGP",No
Hyundai Elantra HD 2009,"['Hyundai', 'Elantra HD', 'White', '92,000 Km', 'Alexandria']",2023-06-17,"340,000 EGP",No
Hyundai Elantra MD 2015,"['Hyundai', 'Elantra MD', 'Black', '135,000 Km', 'Zagazig']",2023-06-17,"650,000 EGP",No
